"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
393837,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
386966,"Contratista O. Mayores","8 O.C.","Sondajes y Prospecciones","3","Tercera"
399128,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A","A"
320874,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
321314,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
309491,"Sin Registro","0","Sin Especialidad","no existe","no existe"
303072,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
303072,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
303072,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
327399,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
322830,"Sin Registro","0","Sin Especialidad","no existe","no existe"
284258,"Contratista O. Menores","5 O.M.","Pavimentos","B","B"
