"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55860,"40056950-0","EN EJECUCION","Sectorial","CONSERVACION EMERGENCIA SSR COLVINDO, SSR HUENUTIL DEL PEUMO, SSR MANQUE SUR Y SSR EL ROBLE","Ñuble",26/10/23,30/12/24,260211,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55855,"40056592-0","TERMINADO","Sectorial","CONSERVACION PUNTO DE POSADA CENTELATO, ANTOFAGASTA","Antofagasta",24/10/23,13/05/24,479827,"ANTOFAGASTA","ANTOFAGASTA"
"Competitividad / Conectividad","Dirección de Vialidad",55853,"40056767-0","EN EJECUCION","Sectorial","CONSERVACION EMERGENCIA JUNIO 2023 REGIÓN METROPOLITANA 2023-2024 ","Metropolitana de Santiago",01/01/23,07/02/25,25879138,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55852,"40056518-0","EN EJECUCION","Sectorial","CONSERVACION EMERGENCIA SSR LA MONTAÑA, SAN FABIAN Y SSR BERNARDO O´HIGGINS, COIHUECO","Ñuble",20/10/23,30/12/24,452675,"DIGUILLÍN, ITATA, PUNILLA","CHILLAN, BULNES, CHILLAN VIEJO, EL CARMEN, PEMUCO, PINTO, QUILLON, SAN IGNACIO, YUNGAY, QUIRIHUE, COBQUECURA, COELEMU, NINHUE, PORTEZUELO, RANQUIL, TREGUACO, SAN CARLOS, COIHUECO, ÑIQUEN, SAN FABIAN, SAN NICOLAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55847,"40056827-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA SSR MARIMAURA, COMUNA DE SAN JAVIER","Maule",31/01/24,01/12/24,619379,"LINARES","SAN JAVIER"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55845,"40056823-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIA DE SSR LAS GARZAS LA SUIZA, COMUNA DE SAN CLEMENTE,","Maule",13/09/23,11/03/24,320795,"TALCA","SAN CLEMENTE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55844,"40056320-0","TERMINADO","Sectorial","CONSERVACION PROTECCIÓN COSTERA SECTOR INFIERNILLO 2","Arica y Parinacota",01/12/23,29/04/24,363202,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",55843,"40056516-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIAS RED VIAL REGIÓN DE ÑUBLE 2023-2024 ","Ñuble",12/10/23,01/12/24,6740093,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55840,"40049773-0","EN EJECUCION","Sectorial","CONSTRUCCION SERVICIO APR DE FLOR DEL LAGO, LOS LAGOS","Los Ríos",26/03/24,20/04/25,1651237,"VALDIVIA","LOS LAGOS"
"Competitividad / Conectividad","Dirección de Aeropuertos",55838,"40056459-0","TERMINADO","Sectorial","CONSERVACION AERÓDROMO PICHIDANGUI, REGIÓN DE COQUIMBO","Coquimbo",01/01/23,27/05/24,514449,"CHOAPA","LOS VILOS"
"Competitividad / Conectividad","Dirección de Aeropuertos",55837,"40056335-0","TERMINADO","Sectorial","CONSERVACION PLATAFORMA AVIACION GENERAL SUR AEROPUERTO CHACALLUTA","Arica y Parinacota",02/12/23,01/09/24,371711,"ARICA","ARICA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55836,"40056445-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA DE EMERGENCIA PARA HELICÓPTEROS DIM LYNCH IQUIQUE  Y CUARTA ZONA","Tarapacá",07/12/23,11/09/24,596884,"IQUIQUE","IQUIQUE"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55835,"40051202-0","TERMINADO","Sectorial","CONSERVACION PUNTOS DE POSADA CAVANCHA Y NAMA","Tarapacá",29/02/24,27/08/24,353877,"IQUIQUE","IQUIQUE"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55833,"40056086-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA DE EMERGENCIA PARA HELICÓPTEROS PUTRE HUAMACHUCO","Arica y Parinacota",24/02/24,21/10/24,268532,"PARINACOTA","PUTRE"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55832,"40056050-0","TERMINADO","Sectorial","CONSERVACION PUNTO DE POSADA DE EMERGENCIA PARA HELICÓPTEROS ARICA PUERTO","Arica y Parinacota",02/12/23,29/08/24,250738,"ARICA","ARICA"
"","Subdirección de Servicios Sanitarios Rurales",55831,"40045971-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN DE INVERSION PUBLICA EN SANEAMIENTO RURAL PARA SISTEMAS UNIFICADOS ","Interregional",01/01/23,01/03/25,621823,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55828,"40051755-0","EN EJECUCION","Sectorial","CONSERVACION ESTANQUE SERVICIO SANITARIO RURAL DE HUENTELOLÉN, CAÑETE Y LLENQUEHUE, CAÑETE","Biobío",21/12/23,01/11/24,551681,"ARAUCO","CAÑETE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55827,"40053725-0","TERMINADO","Sectorial","CONSERVACION PLANTAS DE TRATAMIENTO SSR SANTA MARGARITA","Metropolitana de Santiago",28/12/23,25/06/24,258055,"TALAGANTE","ISLA DE MAIPO"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55824,"40056036-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA EMBALSE LOS AROMOS, REGIÓN DE VALPARAÍSO 2023-2024","Valparaíso",26/09/23,01/11/24,3347205,"MARGA MARGA","LIMACHE"
"Competitividad / Conectividad","Dirección de Vialidad",55822,"40056533-0","EN EJECUCION","Sectorial","CONSERVACION CONSERVACION EMERGENCIA INVIERNO 2023 RED VIAL REGION DE VALPARAISO 2023-2024.","Valparaíso",01/01/23,30/12/24,6024385,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55812,"40055384-0","EN EJECUCION","Sectorial","CONSERVACION POR CAMINO BÁSICO REGIÓN DE COQUIMBO 2023-2024 ","Coquimbo",06/05/24,28/08/25,4921578,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55809,"40056333-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE AGUAS LLUVIAS REGION METROPOLITANA 2023","Metropolitana de Santiago",18/07/23,15/11/23,130300,"SANTIAGO","PUDAHUEL"
"Competitividad / Conectividad","Dirección de Vialidad",55808,"40054926-0","EN EJECUCION","Sectorial","AMPLIACION ALUMBRADO PUBLICO EJE CIRCUNVALACION, COMUNA DE CALAMA,","Antofagasta",19/03/24,01/12/24,2092583,"EL LOA","CALAMA"
"Competitividad / Conectividad","Dirección de Vialidad",55806,"40055976-0","EN EJECUCION","Sectorial","CONSERVACION RUTA 5, SECTOR OFICINA IRIS - BIF. EX OFICINA VICTORIA ","Tarapacá",28/05/24,23/01/25,7697799,"IQUIQUE","IQUIQUE"
"Competitividad / Conectividad","Dirección de Aeropuertos",55804,"40050839-0","EN EJECUCION","Sectorial","CONSERVACION AERODROMO PUYUHUAPI REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",01/11/23,01/12/24,1638234,"AYSEN","CISNES"
"Competitividad / Conectividad","Dirección de Aeropuertos",55803,"40055447-0","EN EJECUCION","Sectorial","CONSERVACION MAYOR AEROPUERTO ARTURO MERINO BENITEZ, PUDAHUEL, RM","Metropolitana de Santiago",01/01/23,28/11/24,5186786,"SANTIAGO","PUDAHUEL"
"Competitividad / Conectividad","Dirección de Vialidad",55799,"40054740-0","EN EJECUCION","Sectorial","CONSERVACION DE SEGURIDAD VIAL EN RUTAS DE LA RED 2023 - 2024 XV REGIÓN","Arica y Parinacota",30/12/23,22/09/24,6312377,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55798,"40055542-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REG DE ÑUBLE 2023-2027 ","Ñuble",25/03/24,02/12/28,20588273,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55797,"40053576-0","TERMINADO","Sectorial","CONSERVACION SERVICIO SANITARIO RURAL DE CUYA","Arica y Parinacota",26/09/23,23/02/24,181708,"ARICA","CAMARONES"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55795,"40055903-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE BIOBIO 2023-2024","Biobío",21/09/23,18/04/24,2064098,"CONCEPCION","PENCO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55793,"40055901-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DEL MAULE 2023","Maule",19/07/23,01/12/24,3633648,"TALCA","TALCA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55791,"40055898-0","TERMINADO","Sectorial","CONSERVACION DE  EMERGENCIA DE CAUCES NATURALES REGION METROPOLITANA 2023-2024","Metropolitana de Santiago",19/07/23,20/05/24,7023166,"SANTIAGO","SANTIAGO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55790,"40055896-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE VALPARAISO 2023-2024","Valparaíso",03/08/23,07/02/24,1067665,"VALPARAISO","VALPARAISO"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55788,"40055945-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE OBRAS DE RIEGO FISCALES REGION DE ÑUBLE  y BIO BIO 2023","Ñuble",01/08/23,26/12/23,4381394,"DIGUILLÍN","CHILLAN"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55787,"40055941-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA CANAL PENCAHUE REGION DEL MAULE 2023-2024","Maule",14/11/23,30/12/24,813799,"TALCA","TALCA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55786,"40055940-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE OBRAS DE RIEGO FISCALES REGION DE VALPARAISO","Valparaíso",17/08/23,13/02/24,3798915,"VALPARAISO","VALPARAISO"
"Competitividad / Conectividad","Dirección de Vialidad",55774,"40053901-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA RED VIAL REGION DEL BIOBIO - AÑO 2023-2024 ","Biobío",01/01/23,01/02/25,3763913,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55773,"40052168-0","EN EJECUCION","Sectorial","REPOSICION RED PUNTOS DE POSADA PARA HELICÓPTEROS EN UNIDADES DE CARABINEROS MAGALLANES ","Magallanes y de la Antártica Chilena",01/01/23,01/11/24,4004779,"MAGALLANES, ULTIMA ESPERANZA","LAGUNA BLANCA, SAN GREGORIO, TORRES DEL PAINE"
"Competitividad / Conectividad","Dirección de Vialidad",55768,"40053033-0","EN EJECUCION","Sectorial","CONSERVACION RED VIAL REGION DEL BIOBIO 2023 - 2025 ","Biobío",27/12/23,06/06/25,10537077,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55767,"40049952-0","EN EJECUCION","Sectorial","CONSERVACION FACHADA COLEGIO JAVIERA CARRERA Y CLÍNICA DENTAL ESCOLAR LA SERENA","Coquimbo",01/01/23,20/12/24,1298708,"ELQUI","LA SERENA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55760,"40049954-0","EN EJECUCION","Sectorial","CONSERVACION HÉROES DE LA CONCEPCIÓN LA SERENA","Coquimbo",01/01/23,20/12/24,907183,"ELQUI","LA SERENA"
"Competitividad / Conectividad","Dirección de Vialidad",55750,"40053478-0","EN EJECUCION","Sectorial","CONSERVACION POR CAMINO BASICO REGION DEL BIOBIO AÑO 2023 - 2024 ","Biobío",01/01/23,02/02/25,4606902,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55749,"40054429-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA RED VIAL REGION DE AYSEN - AÑO 2023-2024","Aysén del General Carlos Ibáñez del Campo",14/07/23,30/12/25,6634896,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55744,"40048171-0","EN EJECUCION","Sectorial","ANALISIS Y ACTUALIZACION RUTA INTERLAGOS ","Interregional",01/01/23,27/09/25,783394,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",55742,"40055200-0","TERMINADO","Sectorial","CONSERVACION INFRAESTRUCTURA DE SOPORTE AÉREO PARA EMERGENCIAS AERÓDROMO EL BUITRE","Arica y Parinacota",10/11/23,19/07/24,620780,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55739,"40055228-0","TERMINADO","Sectorial","CONSERVACION PERIODICA AERODROMO CABO 1 - JUAN ROMAN PTO AYSEN AÑOS 2023-2024","Aysén del General Carlos Ibáñez del Campo",01/01/23,10/03/24,435468,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Aeropuertos",55738,"40055235-0","TERMINADO","Sectorial","CONSERVACION PERIODICA AERODROMO TENIENTE VIDAL AÑOS 2023-2024 ","Aysén del General Carlos Ibáñez del Campo",22/09/23,19/02/24,412316,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Aeropuertos",55737,"40055073-0","TERMINADO","Sectorial","CONSERVACION GLOBAL RED DE AERÓDROMOS REGIONALES - REGIÓN DE LOS RÍOS","Los Ríos",16/11/23,01/09/24,692762,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55735,"40054843-0","EN EJECUCION","Sectorial","HABILITACION NUDO BAQUEDANO ","Metropolitana de Santiago",01/01/24,30/12/25,26848835,"SANTIAGO","SANTIAGO"
"Competitividad / Conectividad","Dirección de Aeropuertos",55734,"40055027-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA SELLOS AERODROMO BALMACEDA AÑOS 2023-2024","Aysén del General Carlos Ibáñez del Campo",01/01/23,19/03/24,1507580,"COIHAIQUE","COIHAIQUE"
"Competitividad / Conectividad","Dirección de Aeropuertos",55731,"40054894-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA PISTA PUNTA BLANCA, TOCOPILLA ","Antofagasta",01/01/23,30/04/24,1238933,"ANTOFAGASTA","ANTOFAGASTA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55730,"40054904-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA PEQUEÑOS AERÓDROMOS LAS BREAS-BARRILES AÑO 2023","Antofagasta",01/01/23,24/04/24,1171282,"ANTOFAGASTA","TALTAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",55729,"40054906-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AERÓDROMO SAN PEDRO DE ATACAMA 2023-2024","Antofagasta",01/01/23,30/04/24,902552,"ANTOFAGASTA","ANTOFAGASTA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55724,"40053776-0","TERMINADO","Sectorial","DIAGNOSTICO DE INSPECCIÓN SUBMARINA CALETA CAVANCHA, IQUIQUE , REGION DE TARAPACA","Tarapacá",01/01/23,11/07/24,141201,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55711,"40038075-0","EN EJECUCION","Extrasectorial","CONSERVACION PERIODICA RUTA T-733 Y T-531, PROVINCIA DE VALDIVIA ","Los Ríos",29/12/23,24/09/24,1001163,"VALDIVIA","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55709,"40038813-0","TERMINADO","Extrasectorial","CONSERVACION PERIODICA RUTA T-283 CRUCE RUTA 203-CH COIHUECO - RELECO ","Los Ríos",29/12/23,25/08/24,656145,"VALDIVIA","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55697,"40054109-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS BASICOS REGION DE ÑUBLE 2023-2025 ","Ñuble",30/05/24,05/02/26,18969934,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55543,"40050091-0","EN EJECUCION","Sectorial","ACTUALIZACION CONDICIÓN ESTRUCTURAL VARIOS CAMINOS RED VIAL NACIONAL ","Interregional",01/01/23,13/02/25,763830,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",55442,"40053566-0","TERMINADO","Sectorial","CONSERVACION PUNTO DE POSADA PUERTO ALDEA","Coquimbo",24/02/24,23/06/24,364151,"ELQUI","COQUIMBO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55434,"40049805-0","EN EJECUCION","Sectorial","AMPLIACION Y MEJORAMIENTO SERVICIO DE APR DE TRAIGUEN, LA UNION","Los Ríos",16/03/24,10/05/25,2058408,"RANCO","LA UNION"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55430,"40047254-0","TERMINADO","Sectorial","DIAGNOSTICO MEJORAMIENTO CALETA LA CEBADA , OVALLE","Coquimbo",01/01/23,26/05/24,175989,"LIMARI","OVALLE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55396,"40046320-0","EN EJECUCION","Sectorial","CONSERVACION LABORATORIO REGIONAL Y RECINTO FISCAL, DRV ÑUBLE 2023-2024","Ñuble",01/01/23,09/12/24,398525,"DIGUILLÍN","CHILLAN"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55382,"40051050-0","EN EJECUCION","Sectorial","DIAGNOSTICO MEJORAMIENTO CALETA SAN AGUSTIN, LA HIGUERA","Coquimbo",01/01/23,23/02/25,215875,"ELQUI","LA HIGUERA"
"Competitividad / Conectividad","Dirección de Vialidad",55377,"40009593-0","TERMINADO","Extrasectorial","CONSERVACION RUTA L-870, TRAMO KM. 0.00 AL KM. 5.50, COMUNA DE PARRAL ","Maule",08/04/20,02/01/21,960820.157,"LINARES","PARRAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55375,"40051363-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIA EN CAUCES NATURALES POR INCENDIOS FORESTALES, REGION DEL BIOBIO","Biobío",18/05/23,25/09/23,475530,"CONCEPCION, BIO BIO","SANTA JUANA, TOME, NACIMIENTO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55374,"40051378-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA EN CAUCES NATURALES POR INCENDIOS FORESTALES, REGION DE ÑUBLE 2023","Ñuble",05/05/23,01/12/23,346089,"DIGUILLÍN, ITATA","CHILLAN VIEJO, COELEMU, PORTEZUELO"
"Competitividad / Conectividad","Dirección de Vialidad",55350,"40025855-0","EN EJECUCION","Sectorial","REPOSICION PUENTE CHICHINTAHUE, ALTO BIOBÍO","Biobío",01/01/23,30/12/24,2209864,"BIO BIO","ALTO BIO BIO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55349,"40036769-0","EN EJECUCION","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL  LA POZA, COMUNA DE SAN PABLO","Los Lagos",21/07/23,01/11/24,2084781,"OSORNO","SAN PABLO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55346,"40038436-0","EN EJECUCION","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL DE OSTIONES, COMUNA DE LOS MUERMOS","Los Lagos",08/08/23,01/11/24,2214342,"LLANQUIHUE","LOS MUERMOS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55344,"40049780-0","EN EJECUCION","Sectorial","CONSTRUCCION SERVICIO APR CATRICO, LANCO","Los Ríos",23/12/23,15/02/25,1904169,"VALDIVIA","LANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55343,"40050504-0","EN EJECUCION","Sectorial","REPOSICION SERVICIO DE APR DE EL LLOLLY, PAILLACO","Los Ríos",23/12/23,15/02/25,1437254,"VALDIVIA","PAILLACO"
"Competitividad / Conectividad","Dirección de Aeropuertos",55336,"40050331-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA AERÓDROMO DE VICTORIA, REGIÓN DE LA ARAUCANÍA","La Araucanía",21/02/23,23/03/23,110380,"MALLECO","VICTORIA"
"Competitividad / Conectividad","Dirección de Vialidad",55332,"40030999-0","TERMINADO","Extrasectorial","CONSERVACION CCBB,J-790, SECTOR KM 0,0 - KM 15,3 ; COMUNA DE VICHUQUEN ","Maule",18/11/22,14/09/23,2828382.366,"CURICO","VICHUQUEN"
"Competitividad / Conectividad","Dirección de Aeropuertos",55315,"40050410-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AERÓDROMO DESIERTO DE ATACAMA, REGION DE ATACAMA AÑOS 2023-2024","Atacama",12/10/23,24/05/24,1768575,"COPIAPO","CALDERA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55305,"40050837-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA PISTA EMERGENCIA CARIQUIMA.","Tarapacá",03/10/23,31/03/24,944988,"TAMARUGAL","COLCHANE"
"Competitividad / Conectividad","Dirección de Aeropuertos",55294,"40050665-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AERÓDROMO EL LOA, CALAMA 2024 ","Antofagasta",01/01/24,30/12/24,1693966,"EL LOA","CALAMA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55293,"40050664-0","EN EJECUCION","Sectorial","CONSERVACION MAYOR AERODROMO LAS BREAS 2024","Antofagasta",30/04/24,02/12/24,935464,"ANTOFAGASTA","TALTAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",55292,"40050661-0","EN EJECUCION","Sectorial","CONSERVACION MAYOR AERÓDROMO BARRILES DE TOCOPILLA 2024","Antofagasta",05/03/24,01/12/24,1355193,"TOCOPILLA","TOCOPILLA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55291,"40050656-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AEROPUERTO ANDRÉS SABELLA 2024 ","Antofagasta",01/01/23,12/11/24,1737074,"ANTOFAGASTA","ANTOFAGASTA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55278,"40043776-0","EN EJECUCION","Sectorial","AMPLIACION EDIFICIO MOP TARAPACA, IQUIQUE ","Tarapacá",01/01/23,30/12/26,228536,"IQUIQUE","IQUIQUE"
"Competitividad / Conectividad","Dirección de Aeropuertos",55252,"40049577-0","EN EJECUCION","Sectorial","CONSERVACION INFRAESTRUCTURA VERTICAL AERÓDROMO PICHOY","Los Ríos",08/06/24,04/11/24,418217,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Aeropuertos",55151,"40050075-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL PEQUEÑOS AERÓDROMOS CHILOÉ 2024 ","Los Lagos",10/05/24,03/08/25,2111104,"CHILOE","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",55150,"40050082-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL PEQUEÑOS AERÓDROMOS LLANQUIHUE 2024 ","Los Lagos",09/05/24,22/06/25,1666289,"LLANQUIHUE","PUERTO MONTT"
"Competitividad / Conectividad","Dirección de Aeropuertos",55148,"40050094-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AEROPUERTO EL TEPUAL 2023 - 2024","Los Lagos",01/01/23,14/06/24,1474527,"LLANQUIHUE","PUERTO MONTT"
